ID_researcher	GROUPING_department	PMID_1	PMID_2	PMID_3	PMID_4	PMID_5	PMID_6	PMID_7	PMID_8	PMID_9	PMID_10
Derwin, Kathleen	Biomedical Engineering	31056396	30860665	30318274	30106830	29398399	28602151	28457317	28426701	26808837	25460414
DeSilva, Tara	Neurosciences	27685467	27600185	27397070	26071560	23068783	22522966	22327369	21968714	19535601	18314905
Dey, Tanujit	Quantitative Health Sciences	31034314	30921170	30735197	30109948	29794620	29577998	29549082	28976724	28527232	28218596
DiDonato, Joseph	Cardiovascular and Metabolic Sciences	26617517	24558038	23969698	22435567	15324458	15280659	15212686	15108329	11698579	10914035
Driscoll, Donna	Cardiovascular and Metabolic Sciences	28917037	25692238	23777426	23614019	21685449	20385601	19716792	19106619	17901054	15821744
Dutta, Ranjan	Neurosciences	30270725	29754529	28821749	24722325	24507515	23996595	23595422	21446020	21147224	20946934
Dweik, Raed	Inflammation and Immunity	28473668	28090286	27187737	27831543	27922752	28514116	28604281	26856665	26401258	26022959
Eng, Charis	Genomic Medicine Institute	31006514	30993253	30993251	30937181	30928438	30774768	30664625	30614812	30311380	30245854
Erdemir, Ahmet	Biomedical Engineering	30927364	30712373	30514629	30251995	29247253	28836010	26444849	26381404	25844153	24895518
Erzurum, Serpil	Inflammation and Immunity	31242023	28814664	28797075	30619887	28018974	27294365	27130529	27027950	26810221	26141573
Fairchild, Robert	Inflammation and Immunity	30617225	30503624	30372587	29467328	27165816	27083272	26856697	26575854	25731734	25202838
Fiocchi, Claudio	Inflammation and Immunity	30295747	29562278	29018271	26627550	25827798	25531360	24486052	24030223	23295686	23149220
Flannery, David	Genomic Medicine Institute	30199404	22407893	12457409	11478533	1951440	1993956	21948486	18666229	15739154	2077489
Fleischman, Aaron	Biomedical Engineering	20442019	22163683	15014268	19055419	16133803	22357558	20552673	20054402	19539062	19524292
Fox, Paul	Cardiovascular and Metabolic Sciences	30612880	30309984	29643180	29152905	28777042	28520992	28178239	27729295	26122849	25786748
Fukamachi, Kiyotaka	Biomedical Engineering	30393881	30312660	30074965	29761298	29703578	29616367	29538013	29400088	29365118	29076174
Gassman, Jennifer	Quantitative Health Sciences	29212839	17591527	30775619	30006417	29976600	29870977	29212839	27927600	26335102	27516235
Ghosh, Chaitali	Biomedical Engineering	30414085	30264400	28199000	28127491	27312874	25656284	23865846	22426401	21568937	21294720
Gladson, Candece	Cancer Biology	30094720	28912141	27858267	27270311	23936469	22396498	20947248	20379377	19737106	19549899
Gong, Zihua	Cancer Biology	28213517	29844495	27037360	25512557	24239288	21504906	21482717	20159562	19124460	30202049
Graham, Linda	Biomedical Engineering	28835433	26858457	26125413	24820897	22047834	20347693	19939614	18585884	18495872	16141413
Gupta, Neetu	Inflammation and Immunity	30021765	27909060	26673134	25801911	25746045	24117813	24043890	23338238	22815291	21751808
Hagstrom, Stephanie	Ophthalmic Research	29721989	27099955	26987071	26427465	26427415	26202387	26028346	25491159	24813631	24811960
Hajjar, Adeline	Cardiovascular and Metabolic Sciences	29020088	25350459	25229618	23071439	16936244	16100080	15321997	11912497	11123271	9666021
Hamilton, Thomas	Inflammation and Immunity	26134251	25484881	24920846	23519936	22167720	21822258	20430641	20080976	20042592	19155515
Hascall, Vincent	Biomedical Engineering	30723159	30710015	25892563	25325979	24569987	24486448	24482224	23129777	19550149	19346253
Hazen, Stanley	Cardiovascular and Metabolic Sciences	31023434	30940489	30689425	30535398	30530985	30410105	30359185	30082863	29981269	29777744
Heemers, Hannelore	Cancer Biology	30742064	29786790	28826481	28566530	27451135	26876983	22456196	18497079	19345321	20166126
Hine, Christopher	Cardiovascular and Metabolic Sciences	29634343	28591635	25542313	25523462	28701478	29071285	24905161	23505614	22008909	19106292
Hite, Duncan	Inflammation and Immunity	31112383	30346242	29256894	28082138	16714767	16714768	16714768	23431308	24835849	30801214
Hobbs, Brian	Quantitative Health Sciences	30786040	30672395	30561713	30335125	30037304	29984488	29949418	29412015	29398440	29036300
Hong, Changjin	Quantitative Health Sciences	25983538	25225611	24261665	26100579	25805852	24267797	24261665	23282319	23843222	22735708
Hu, Bo	Quantitative Health Sciences	29518270	29471147	27895266	26179943	24747226	23710259	22535711	22402803	20819841	18355383
Hu, Ming	Quantitative Health Sciences	30986246	30746303	26969411	18302784	26124977	23382666	27153668	26543175	28877673	27851967
Huang, Emina	Cancer Biology	30738331	29983891	29560130	28881576	24643495	22914954	22902411	21779143	20186482	19808966
Husni, Elaine	Cardiovascular and Metabolic Sciences	30980514	29884228	29848385	29688503	29512290	28802776	28623526	27485213	27134270	26476226
Hwang, Tae Hyun	Quantitative Health Sciences	28735488	27626065	24465231	23822816	27797759	26635139	24476358	29136504	28346452	27897170
Imrey, Peter	Quantitative Health Sciences	20862669	16753447	15286133	26378705	26378704	26378703	8610679	8586688	7880252	7932024
Ivanov, Andrei	Inflammation and Immunity	30290240	30010460	28359759	28322932	27063635	26878213	25809162	25792565	27626042	25143399
Jaroslaw Maciejewski	Translational Hematology and Oncology Research	30891747	30898763	30709865	30675378	30655603	29795413	29416752	29339439	29217782	28633612
Jensen, Jan	Biomedical Engineering	25576928	28247862	24014421	23370147	22461559	18186922	29325753	28892734	28528561	28096308
Jorgensen, Trine	Inflammation and Immunity	30853311	29755457	29430334	25708485	25504931	24477163	24442428	23754362	22585710	20018631
Kalady, Matthew	Cancer Biology	31082910	30451761	30353615	30318507	29580878	29578919	29465458	29184477	28916945	28527628
Kallianpur, Asha	Genomic Medicine Institute	30209774	29968489	29216383	28447399	28427421	26690344	26129753	25144566	24996618	15834437
Kang, Zizhen	Inflammation and Immunity	29352002	28821568	23995070	22699909	22608496	21272781	20303295	30670047	30372424	28990926
Karnik, Sadashiva	Cardiovascular and Metabolic Sciences	30616822	30608150	29287092	29195045	28194766	27512731	26484771	26460884	26315714	25068582
Kattan, Michael	Quantitative Health Sciences	30611011	30385049	30348631	30214921	30003062	29995735	29862238	29610738	29610734	29381462
Krishna, Vijay	Biomedical Engineering	29382935	23083600	20818623	20228785	16989848	20228785	23261655	21637768	21337565	20839856
Labhasetwar, Vinod	Biomedical Engineering	30940690	30930216	29947019	28299721	27090164	26735970	26439800	26343846	26024446	26000961
Lal, Dennis	Genomic Medicine Institute	30341947	30048611	29473046	28756411	26990884	26789268	26220384	26174448	25950944	24591017
Lapin, Brittany	Quantitative Health Sciences	30759300	30314624	30092893	30135254	30587028	30381370	29592886	29708224	25532738	24954277
Lathia, Justin	Cardiovascular and Metabolic Sciences	31018124	30595497	30877099	30729665	30385717	29699876	29644711	29422613	29282720	28664387
Lee, Byron	Cardiovascular and Metabolic Sciences	29209771	28753780	25294696	27646943	23233737	21683989	21146865	16230360	23021664	26628371
Lee, Jeongwu	Cancer Biology	18167341	19427293	22083670	22617325	30899443	30898893	30262818	28164090	26641068	26032834
Lee, Yu-Shang	Neurosciences	29402167	28827771	27502766	26426529	26384335	25769013	24959867	24937795	24017996	23804083
Li, Xiaojuan	Biomedical Engineering	28019053	28714169	29364702	28823880	28978352	27661002	25865349	26050865	26608949	25761416
Li, Xiaoxia	Inflammation and Immunity	30683702	30578323	30372424	30352854	30013031	29563620	29070673	28990926	28561022	28223414
Li, Yong	Cancer Biology	30343114	30068361	29685162	29703722	29540832	28386133	27462406	25990308	26519132	30185897
Li, Zong-Ming	Biomedical Engineering	30336369	29678419	28824352	28824216	28343885	28073093	27401044	27074707	26953892	26662276
Lin, Ching-Yi	Neurosciences	29402167	25769013	24937795	22022865	18289871	16000124	12414990	10980193	30948495	29760195
Lin, Feng	Inflammation and Immunity	30066197	30006485	29909366	29695418	29472120	28955337	28760953	28209777	28045484	27909060
Lindner, Daniel	Translational Hematology and Oncology Research	27560553	23202046	19430495	18937547	18074035	17379600	16847314	16689662	15634191	12881518
Longworth, Michelle	Inflammation and Immunity	30407525	30068527	29028794	28820335	27317808	26734601	25701737	24204294	22496667	19714354
Louveau, Antoine	Neurosciences	30224810	30141006	30008983	29401417	28862640	27608759	26909581	26576598	26431936	26398980
Machado, Andre	Neurosciences	30853407	30799493	30064319	29932378	29800707	29384450	29372880	29266520	29048606	29029200
Marasco, Paul	Biomedical Engineering	30967581	30663709	30453897	29773999	29540617	29194626	29182648	21252109	21106839	19369486
Mascha, Edward	Quantitative Health Sciences	31008746	30096083	29750691	29346210	29189214	28817531	28786843	28682958	28301418	25929547
Mata, Ignacio	Genomic Medicine Institute	30765263	29367946	28657124	28649619	28526295	28268100	27943640	27111571	26399558	26296077
Matsuoka, Ryota	Cardiovascular and Metabolic Sciences	29438257	28855341	27852438	23646199	22593055	21835343	21270798	30449506	24179230	NA
Maytin, Edward	Biomedical Engineering	30740528	29593028	29471147	28336806	26964566	26448756	26223149	25983370	25712788	25402211
McCrae, Keith	Cardiovascular and Metabolic Sciences	30923524	29295846	28784423	28711993	28476065	28314138	28113083	27402674	26637701	26264622
McDonald, Christine	Inflammation and Immunity	30704299	29880914	29471675	26982478	25581832	25000398	23251695	22665475	22387394	21936032
McIntyre, Thomas	Cardiovascular and Metabolic Sciences	30150285	28455445	27227061	26720402	26471267	29354667	26003521	25163645	24412858	24177323
Messer, Jeannette	Inflammation and Immunity	28145439	27837217	23794574	18593857	15822531	29051186	27207671	25645662	25642769	30894054
Mian, Omar	Translational Hematology and Oncology Research	27563532	26447830	24740136	18282518	21693597	15728378	12732451	30202792	30327311	31059665
Midura, Ronald	Biomedical Engineering	29310784	29119853	27815598	25046535	24764277	21958842	19967451	19450716	18765929	17936099
Min, Booki	Inflammation and Immunity	30700587	15879097	17075245	17132717	17549737	18632726	18832679	19008933	19667092	19920180
Moravec, Christine	Cardiovascular and Metabolic Sciences	24878771	24842913	21972325	20044278	18540144	15312825	12431450	11514373	11040107	10728422
Morris-Stiff, Gareth	Cancer Biology	31206465	31176601	29038855	28890311	28821481	28645922	28790092	28619737	27260526	26984696
Morton, Richard	Cardiovascular and Metabolic Sciences	26203075	25616437	25593327	24293641	21937674	19008550	18369235	17901467	17522050	16905138
Muschler, George	Biomedical Engineering	30461436	30461435	31020864	30334888	30316562	30189436	29396254	29316595	29240251	28976432
Nagy, Laura	Inflammation and Immunity	31009094	30710579	30294325	29597356	29374837	29142263	28647568	28257601	28165624	28087985
Nowacki, Amy	Quantitative Health Sciences	28937359	26195576	25586325	23940836	23565103	20857339	30016197	30914495	30789459	30673077
O'Connor, Christine	Genomic Medicine Institute	30647114	30127279	24987098	24639223	30405048	30089702	29237840	24599990	22761372	25220471
O'Toole, John	Inflammation and Immunity	29949895	29180397	29110761	27026370	24516335	24116217	21071984	20100174	24892702	24233469
Obuchowski, Nancy	Quantitative Health Sciences	30597055	29921163	29512515	29298603	29191687	28253530	26898527	25842015	25300725	24919829
Olman, Mitchell	Inflammation and Immunity	29019812	28523001	26763235	26597012	23499373	24644284	19411312	16797514	18669633	14764742
Padgett, Richard	Cardiovascular and Metabolic Sciences	24865609	22594801	22397991	18824513	18658120	16043500	14691257	12409455	12049749	11680842
Peachey, Neal	Ophthalmic Research	30040236	26241901	28356706	28490646	26149093	25429122	24395437	24106123	22896717	22865473
Perez, Dianne	Cardiovascular and Metabolic Sciences	27277698	26832303	23404509	23384050	22611178	22268811	21338248	19487244	19363165	17365508
Perkins, Brian	Ophthalmic Research	30970040	30009987	28118669	27720860	27571019	27273592	26427413	25144710	24698764	20207966
Piedimonte, Giovanni	Inflammation and Immunity	30575339	29329282	28834426	28701524	28500974	28215300	28178290	28140833	28135044	27740722
Plow, Edward	Cardiovascular and Metabolic Sciences	29743493	29467183	29138119	28799653	28687620	28652408	27500205	27044892	25609252	24876560
Plow, Ela	Biomedical Engineering	29563050	28784042	28662931	28607523	28402865	28142257	28117211	28091708	27838275	27045553
Podrez, Eugene	Inflammation and Immunity	29155052	28775078	25323497	24400094	24350680	23071157	22632897	21071700	20508162	20374263
Prasad, Sathyamangla	Cardiovascular and Metabolic Sciences	30259192	29776605	28763371	28329018	28179187	26023787	23785004	23735785	22697395	22041711
Qin, Jun	Cardiovascular and Metabolic Sciences	31167123	30367047	29170462	28348077	25849143	25666618	25160619	22763012	22078565	22030399
Radivoyevitch, Tomas	Quantitative Health Sciences	30055822	27007600	26922774	25663652	25480649	24337217	23205301	22353999	25392744	22303993
Rajeswaran, Jeevanantham	Quantitative Health Sciences	27856959	26740575	24919830	17357993	17397676	30071995	29779634	28967527	24981029	24981029
Ramamurthi, Anand	Biomedical Engineering	30061830	29701914	29264957	28875468	28087488	27884774	27860330	26830683	26652359	25376929
Rao, Sujata	Ophthalmic Research	31002540	29045837	26720479	23334418	18039971	16163358	11726512	30936473	28356706	25715397
Raska, Paola	Quantitative Health Sciences	28752189	27324504	25519390	22590501	22373165	22303333	22128058	20018043	23535648	22412386
Reizes, Ofer	Cardiovascular and Metabolic Sciences	31167163	29955847	28838952	28729467	27221339	27105520	25827713	24025407	21636700	20923696
Rezaee, Fariba	Inflammation and Immunity	30489157	28759570	28500974	20971883	29329282	20300619	25085341	24467704	23926335	21996340
Rieder, Florian	Inflammation and Immunity	30981697	30503966	30411391	30346528	29920726	29411405	28881875	28402994	28002130	27831543
Rotroff, Daniel	Quantitative Health Sciences	29650774	28736931	27887572	27689071	27648916	27378919	26783503	24960280	24279843	23682706
Rubin, Brian	Cancer Biology	30709447	27044772	26486743	26297068	25961935	25766843	24977739	24589855	21970485	21885404
Runge, Kurt	Inflammation and Immunity	30498568	29784772	29544213	29018935	28292918	23874875	22289863	22094427	19409973	17803948
Sakaguchi, Takuya	Inflammation and Immunity	28720653	23744565	22222761	18951027	17008449	27396333	31016744	26929344	NA	NA
Samuels, Ivy	Ophthalmic Research	30543793	28965505	27367517	25429122	24106123	23101909	20484527	19186160	18596172	11500922
Saunthararajah, Yogen	Translational Hematology and Oncology Research	30936220	30231326	30015632	29225849	28880867	28758902	28726739	28561650	25977578	24879424
Scheraga, Rachel	Inflammation and Immunity	28523001	26597012	27638903	26763235	25365224	25023647	23576879	NA	NA	NA
Schold, Jesse	Quantitative Health Sciences	31090645	31027881	30973413	30019832	30006419	29945482	29805957	29525324	29316241	28611123
Schumaker-Bass, Sarah	Cardiovascular and Metabolic Sciences	30259192	30175279	28328744	27016525	25739765	24508725	24839449	20156596	19443837	17673464
Scott, Jacob	Translational Hematology and Oncology Research	30778184	30659188	30385313	29786861	29736596	28450729	26360300	29315173	28982791	29733909
Sedor, John	Inflammation and Immunity	30332315	29180397	29110761	22813067	21997392	21900451	20347648	20086015	19367311	18486718
Sen, Ganes	Inflammation and Immunity	29531172	27815826	27631700	27178468	27137933	26958928	26414443	26341626	25428874	25231314
Sharifi, Nima	Cancer Biology	30262668	29939161	29850791	29346776	29231195	29049492	29049452	28733443	28648378	28389515
Silverman, Robert	Cancer Biology	30814222	26517238	25816776	24987090	24905202	24371271	23732991	22875977	22615748	22312343
Smith, Jonathan	Cardiovascular and Metabolic Sciences	31102955	30354238	29615096	29545482	29301789	29097366	27514935	26783232	25561462	25359426
Southern, Brian	Inflammation and Immunity	26763235	26760523	29733782	28523001	26597012	24644284	23499373	NA	NA	NA
Stark, George	Cancer Biology	29581268	29440145	28620095	27852626	26337909	26195767	25767098	25217633	25071181	25028470
Stenina Adognravi, Olga	Cardiovascular and Metabolic Sciences	29138119	28481870	26139464	26018675	24589453	24582666	23892609	22362893	21148424	20884877
Stuehr, Dennis	Inflammation and Immunity	31170354	30926606	30402946	30012884	29414777	29358373	28232486	27613870	27760279	27071111
Suh, Hoonkyo	Neurosciences	30507615	30498432	27759049	27300262	26365148	19575663	18371391	30967683	30655503	29255203
Tam, K. P. Connie	Ophthalmic Research	29191848	27891122	23006328	21901151	20130275	17905228	29062042	30439473	30343040	29062042
Tang, W. H. Wilson	Cardiovascular and Metabolic Sciences	31023434	30953792	30890412	30410105	30345014	30158457	30012361	29994808	29893446	29729330
Tannenbaum, Charles	Inflammation and Immunity	18354192	17475896	10936062	9670971	8543822	8258693	7684766	2114413	2494257	2783930
Taylor, Dawn	Neurosciences	27979758	26170261	24359452	23724837	23611833	21712569	21623009	21472032	21436529	20064765
Ting, Angela	Genomic Medicine Institute	27605446	27257071	26673711	26628371	23710259	23233737	22673787	21990380	21698188	18413723
Tonelli, Adriano	Inflammation and Immunity	30621691	30063259	29771822	29698719	29671686	29377954	29323451	28947049	28840954	28643420
Trapp, Bruce	Neurosciences	30215581	30143361	29754529	29361242	29274095	28833377	27872255	25750925	25693054	25066805
Tuohy, Vincent	Inflammation and Immunity	29093011	28428886	27322324	26618181	25670003	25274653	25172043	24105638	22993071	23344231
Valujskikh, Anna	Inflammation and Immunity	31092872	28397358	29243390	28293238	27888576	27020853	26912319	26323072	25548230	25496308
Van Wagoner, David	Cardiovascular and Metabolic Sciences	30513109	28344424	26335221	25213716	21123218	20495015	18791466	17403452	12914605	12875431
Vince, Geoff	Biomedical Engineering	15923746	15331362	15185177	15121252	12766735	12661205	12453506	12390948	11731045	11131497
Wang, Qing	Cardiovascular and Metabolic Sciences	30703554	30655286	30772377	31020414	30991833	30920082	30821358	30282806	30251687	30188605
Wang, Xiaofeng	Quantitative Health Sciences	26643287	26475830	25284902	24664664	24416633	22754269	22522380	21839177	21614139	20543891
Wessely, Oliver	Cardiovascular and Metabolic Sciences	29530879	25127994	24733901	23974984	23352791	22639256	22028899	29560130	27214281	27144987
Williams, Jessica	Neurosciences	24920943	18245499	21463904	22966080	24733828	23706172	22966080	28134626	26556427	23797673
Wilson, Steven	Ophthalmic Research	30884531	30480706	30284084	30098200	29596850	29481786	28780779	28625845	28506643	28275314
Wu, Qingyu	Cardiovascular and Metabolic Sciences	31185295	30843660	30595185	29889025	30453347	29650693	29180304	28861913	28338078	27898523
Yu, Jennifer	Cancer Biology	31180366	31099638	30118510	29642487	29198941	30542674	25895709	25712125	25464848	30546944
Zborowski, Maciej	Biomedical Engineering	29104346	28230974	26911917	26368657	29353957	24811334	24141316	24910468	22952572	22500468
Zhang, Bin	Genomic Medicine Institute	29735583	29444815	28327546	26494538	23709226	22745161	21795745	20817851	20007547	19183188
Zhao, Jianjun	Cancer Biology	30596388	29632340	24676133	26249174	26005854	24599134	22983447	22914623	22689860	20966935
Zutshi, Massarat	Biomedical Engineering	29112569	28785819	28267010	27050606	24797828	23147650	23135588	22564198	22006493	21895926
